CONTAINER      NAME                                                                                                    CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O         PIDS
d0d7d1243640   dev-peer0.org2.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   4.00%     11.38MiB / 2GiB       5.41MB / 2.82MB   0B / 0B           9
8edfc6e3bab9   dev-peer0.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   2.15%     8.559MiB / 2GiB       1.99MB / 1.38MB   8.19kB / 0B       7
38a91a5e521b   dev-peer3.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   2.96%     8.047MiB / 2GiB       1.36MB / 635kB    0B / 0B           8
1dcb238ff873   dev-peer1.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   2.19%     7.988MiB / 2GiB       1.21MB / 562kB    0B / 0B           7
1a00a97eefae   dev-peer2.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   2.10%     8.371MiB / 2GiB       1.34MB / 615kB    0B / 0B           8
e368eeac52a9   peer3.org1.example.com                                                                                  34.50%    126MiB / 11.57GiB     61.7MB / 47.7MB   1.68MB / 44.7MB   13
5a3b44a74e0d   peer2.org1.example.com                                                                                  23.82%    141.7MiB / 11.57GiB   59.2MB / 48.9MB   61.4kB / 17.6MB   12
f52bcfec683a   peer1.org1.example.com                                                                                  28.29%    119.1MiB / 11.57GiB   58.3MB / 47.9MB   168kB / 17.9MB    12
2298505756fe   cli                                                                                                     0.00%     12.11MiB / 11.57GiB   109kB / 17.5kB    14.5MB / 336kB    1
fb36a2f9286f   peer0.org2.example.com                                                                                  18.69%    100.7MiB / 11.57GiB   28.9MB / 18.7MB   12.8MB / 14.1MB   13
4e91c5796a73   peer0.org1.example.com                                                                                  14.84%    130.4MiB / 11.57GiB   60.6MB / 60.5MB   16.5MB / 14.5MB   12
4dcc78dc2550   couchdb0                                                                                                16.80%    74.53MiB / 11.57GiB   1.34MB / 1.34MB   15.8MB / 10.6MB   42
c3d37a692212   couchdb1                                                                                                24.24%    75.55MiB / 11.57GiB   1.94MB / 2.01MB   12.6MB / 10.4MB   42
acbdacfc7222   orderer.example.com                                                                                     14.12%    63.36MiB / 11.57GiB   11.8MB / 52.2MB   19.6MB / 22.7MB   14
ff0305c4c2b6   ca_orderer                                                                                              0.00%     7.02MiB / 11.57GiB    23.2kB / 27.2kB   598kB / 659kB     8
271d8fb0e207   ca_org2                                                                                                 0.00%     7.133MiB / 11.57GiB   27.5kB / 35.5kB   573kB / 737kB     8
1a78b71dfe73   ca_org1                                                                                                 0.00%     7.715MiB / 11.57GiB   46.7kB / 77.7kB   23.2MB / 1.13MB   7
CONTAINER      NAME                                                                                                    CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O         PIDS
d0d7d1243640   dev-peer0.org2.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   7.21%     13.63MiB / 2GiB       6.59MB / 3.15MB   0B / 0B           9
8edfc6e3bab9   dev-peer0.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   3.92%     8.508MiB / 2GiB       2.33MB / 1.52MB   8.19kB / 0B       8
38a91a5e521b   dev-peer3.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   1.68%     8.059MiB / 2GiB       1.63MB / 745kB    0B / 0B           8
1dcb238ff873   dev-peer1.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   2.09%     8.094MiB / 2GiB       1.53MB / 688kB    0B / 0B           7
1a00a97eefae   dev-peer2.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   2.17%     8.191MiB / 2GiB       1.64MB / 742kB    0B / 0B           8
e368eeac52a9   peer3.org1.example.com                                                                                  25.63%    134MiB / 11.57GiB     73MB / 57.9MB     1.68MB / 47.7MB   13
5a3b44a74e0d   peer2.org1.example.com                                                                                  30.47%    135.4MiB / 11.57GiB   70.6MB / 58.9MB   61.4kB / 21MB     12
f52bcfec683a   peer1.org1.example.com                                                                                  27.39%    115.6MiB / 11.57GiB   69.7MB / 58.6MB   168kB / 21.3MB    12
2298505756fe   cli                                                                                                     0.00%     12.11MiB / 11.57GiB   109kB / 17.5kB    14.5MB / 336kB    1
fb36a2f9286f   peer0.org2.example.com                                                                                  23.06%    113MiB / 11.57GiB     30.9MB / 21MB     12.8MB / 14.2MB   14
4e91c5796a73   peer0.org1.example.com                                                                                  15.25%    134.6MiB / 11.57GiB   71.3MB / 68.9MB   16.5MB / 14.9MB   12
