CONTAINER      NAME                                                                                                    CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O       PIDS
ced523159be7   dev-peer0.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   31.22%    12.45MiB / 2GiB       92.3MB / 73.6MB   0B / 0B         9
c5935eb20409   dev-peer0.org2.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.00%     6.109MiB / 2GiB       640kB / 764kB     0B / 0B         7
c02b665bf50d   dev-peer2.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   22.95%    9.418MiB / 2GiB       151MB / 127MB     0B / 0B         10
2242307b43d6   dev-peer3.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   25.02%    9.117MiB / 2GiB       151MB / 127MB     0B / 0B         9
470beb2acde9   dev-peer1.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   26.39%    9.48MiB / 2GiB        151MB / 127MB     0B / 0B         9
b8bb345795ee   peer3.org1.example.com                                                                                  9.79%     99.38MiB / 11.57GiB   138MB / 399MB     0B / 3.57MB     11
8254a117fe8e   peer2.org1.example.com                                                                                  9.13%     119.5MiB / 11.57GiB   136MB / 400MB     0B / 3.57MB     10
67026816d351   peer1.org1.example.com                                                                                  11.35%    92.22MiB / 11.57GiB   136MB / 401MB     0B / 3.58MB     11
48f46f718c6e   cli                                                                                                     0.00%     1.07MiB / 11.57GiB    108kB / 17.5kB    0B / 336kB      1
52a456767a11   peer0.org1.example.com                                                                                  49.98%    145.7MiB / 11.57GiB   422MB / 189MB     41kB / 3.42MB   11
7913de4ff4e1   peer0.org2.example.com                                                                                  0.86%     83MiB / 11.57GiB      5.8MB / 2.78MB    0B / 3.42MB     10
bd7c85809023   couchdb0                                                                                                150.25%   142.8MiB / 11.57GiB   16.1MB / 341MB    0B / 1.55MB     42
8e54a0047684   couchdb1                                                                                                1.26%     60.5MiB / 11.57GiB    567kB / 568kB     0B / 1.54MB     42
8353effcce8b   orderer.example.com                                                                                     0.05%     23.48MiB / 11.57GiB   311kB / 1.27MB    0B / 618kB      9
67d00fac6afa   ca_orderer                                                                                              0.00%     7.707MiB / 11.57GiB   22.8kB / 27.2kB   0B / 659kB      8
5a5b1bfbfa5d   ca_org1                                                                                                 0.00%     7.355MiB / 11.57GiB   45.9kB / 77.7kB   0B / 1.13MB     7
