CONTAINER      NAME                                                                                                    CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O         PIDS
24bb6ee4d692   dev-peer0.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   16.85%    11.33MiB / 2GiB       27.7MB / 18.7MB   0B / 0B           8
17fd564de689   dev-peer1.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   26.78%    9.266MiB / 2GiB       237MB / 199MB     0B / 0B           10
bfbf1d127563   dev-peer0.org2.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.00%     6.328MiB / 2GiB       660kB / 787kB     0B / 0B           7
d83f850aa6d0   dev-peer3.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   24.43%    11.47MiB / 2GiB       235MB / 197MB     0B / 0B           10
db2b896e9fa8   dev-peer2.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   38.40%    9.953MiB / 2GiB       237MB / 199MB     0B / 0B           9
79b3959af5a9   peer3.org1.example.com                                                                                  10.46%    106MiB / 11.57GiB     212MB / 621MB     28.7kB / 3.58MB   11
173957f1efd7   peer2.org1.example.com                                                                                  15.50%    112.9MiB / 11.57GiB   210MB / 625MB     0B / 3.57MB       12
6b52a2feedf3   peer1.org1.example.com                                                                                  10.26%    106MiB / 11.57GiB     211MB / 625MB     0B / 3.57MB       11
b9227a1b2c76   cli                                                                                                     0.00%     1.09MiB / 11.57GiB    109kB / 17.4kB    389kB / 336kB     1
6ca81a83e58f   peer0.org2.example.com                                                                                  0.99%     101.5MiB / 11.57GiB   6.4MB / 3.44MB    0B / 3.43MB       10
6e86fd93aec3   peer0.org1.example.com                                                                                  28.65%    141MiB / 11.57GiB     457MB / 81.8MB    0B / 3.43MB       11
a837ede80b9a   couchdb1                                                                                                1.13%     58.27MiB / 11.57GiB   565kB / 565kB     0B / 1.55MB       42
81e37aa368a6   orderer.example.com                                                                                     0.07%     24.09MiB / 11.57GiB   528kB / 1.55MB    0B / 618kB        10
11d434a1ec2f   couchdb0                                                                                                149.05%   133.6MiB / 11.57GiB   20.8MB / 429MB    0B / 1.55MB       42
0c2259c3986b   ca_org2                                                                                                 0.00%     7.137MiB / 11.57GiB   27.4kB / 35.5kB   0B / 737kB        7
3c078f73c206   ca_orderer                                                                                              0.00%     7.188MiB / 11.57GiB   22.7kB / 27.2kB   0B / 659kB        7
57600c10fef7   ca_org1                                                                                                 0.00%     7.203MiB / 11.57GiB   46.1kB / 77.6kB   0B / 1.13MB       8
CONTAINER      NAME                                                                                                    CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O         PIDS
24bb6ee4d692   dev-peer0.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   4.23%     13.72MiB / 2GiB       30.1MB / 20.5MB   0B / 0B           8
17fd564de689   dev-peer1.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   18.34%    9.316MiB / 2GiB       243MB / 204MB     0B / 0B           10
bfbf1d127563   dev-peer0.org2.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.00%     6.328MiB / 2GiB       660kB / 787kB     0B / 0B           7
d83f850aa6d0   dev-peer3.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   32.12%    10.6MiB / 2GiB        241MB / 203MB     0B / 0B           10
db2b896e9fa8   dev-peer2.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   24.04%    9.234MiB / 2GiB       242MB / 204MB     0B / 0B           9
79b3959af5a9   peer3.org1.example.com                                                                                  14.56%    109.6MiB / 11.57GiB   217MB / 638MB     28.7kB / 3.58MB   11
173957f1efd7   peer2.org1.example.com                                                                                  9.60%     121.3MiB / 11.57GiB   215MB / 640MB     0B / 3.57MB       12
6b52a2feedf3   peer1.org1.example.com                                                                                  8.31%     106.5MiB / 11.57GiB   216MB / 641MB     0B / 3.57MB       11
b9227a1b2c76   cli                                                                                                     0.00%     1.09MiB / 11.57GiB    109kB / 17.4kB    389kB / 336kB     1
6ca81a83e58f   peer0.org2.example.com                                                                                  0.75%     101.5MiB / 11.57GiB   6.42MB / 3.46MB   0B / 3.43MB       10
6e86fd93aec3   peer0.org1.example.com                                                                                  16.46%    145.3MiB / 11.57GiB   470MB / 88MB      0B / 3.43MB       11
a837ede80b9a   couchdb1                                                                                                0.76%     58.27MiB / 11.57GiB   565kB / 565kB     0B / 1.55MB       42
81e37aa368a6   orderer.example.com                                                                                     0.06%     24.09MiB / 11.57GiB   528kB / 1.55MB    0B / 618kB        10
11d434a1ec2f   couchdb0                                                                                                196.04%   134.1MiB / 11.57GiB   21.1MB / 440MB    0B / 1.55MB       42
0c2259c3986b   ca_org2                                                                                                 0.00%     7.137MiB / 11.57GiB   27.4kB / 35.5kB   0B / 737kB        7
3c078f73c206   ca_orderer                                                                                              0.00%     7.188MiB / 11.57GiB   22.7kB / 27.2kB   0B / 659kB        7
57600c10fef7   ca_org1                                                                                                 0.00%     7.203MiB / 11.57GiB   46.1kB / 77.6kB   0B / 1.13MB       8
CONTAINER      NAME                                                                                                    CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O         PIDS
24bb6ee4d692   dev-peer0.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   12.37%    13.17MiB / 2GiB       35MB / 24.8MB     0B / 0B           8
17fd564de689   dev-peer1.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   35.95%    9.84MiB / 2GiB        250MB / 210MB     0B / 0B           10
