CONTAINER      NAME                                                                                                    CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O         PIDS
64725e251350   dev-peer0.org2.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   0.00%     5.836MiB / 2GiB       310kB / 366kB     0B / 0B           7
a309f5f16996   dev-peer0.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   12.65%    14.07MiB / 2GiB       162MB / 130MB     0B / 0B           9
ee97686dfd5a   dev-peer3.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   28.35%    9.988MiB / 2GiB       197MB / 164MB     0B / 0B           10
93ca131dc036   dev-peer1.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   27.37%    8.574MiB / 2GiB       197MB / 164MB     0B / 0B           10
3c8c73db405c   dev-peer2.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   24.84%    8.598MiB / 2GiB       197MB / 164MB     8.19kB / 0B       9
71cba593f034   peer3.org1.example.com                                                                                  14.06%    99.07MiB / 11.57GiB   183MB / 522MB     1.69MB / 30.3MB   12
5c331ce2079d   peer2.org1.example.com                                                                                  13.66%    90.03MiB / 11.57GiB   180MB / 522MB     0B / 3.43MB       12
f15ece11cd6b   peer1.org1.example.com                                                                                  14.12%    102.7MiB / 11.57GiB   180MB / 522MB     131kB / 3.43MB    11
3219fc43a97f   cli                                                                                                     0.00%     12.15MiB / 11.57GiB   109kB / 17.4kB    14.4MB / 336kB    1
ce3a5a7ec086   peer0.org1.example.com                                                                                  29.10%    170.4MiB / 11.57GiB   584MB / 416MB     9.4MB / 3.35MB    11
33865ddd67d6   peer0.org2.example.com                                                                                  1.31%     79.41MiB / 11.57GiB   8.08MB / 5.19MB   19.9MB / 3.35MB   10
b7b76a86372b   orderer.example.com                                                                                     0.12%     20.7MiB / 11.57GiB    518kB / 1.3MB     19.7MB / 500kB    9
d246828719b3   couchdb0                                                                                                159.52%   184.8MiB / 11.57GiB   17MB / 439MB      11.9MB / 1.41MB   42
5fc5677fdddf   couchdb1                                                                                                0.94%     70.4MiB / 11.57GiB    361kB / 337kB     16.7MB / 1.41MB   42
965ac28a4af2   ca_org1                                                                                                 0.00%     7.148MiB / 11.57GiB   46.4kB / 77.5kB   2.62MB / 1.13MB   8
57c8708501be   ca_orderer                                                                                              0.00%     7.207MiB / 11.57GiB   23.2kB / 27.2kB   2.67MB / 659kB    8
780d856de9b7   ca_org2                                                                                                 0.00%     7.852MiB / 11.57GiB   27.9kB / 35.5kB   18.8MB / 737kB    8
CONTAINER      NAME                                                                                                    CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O         PIDS
64725e251350   dev-peer0.org2.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   0.00%     5.836MiB / 2GiB       310kB / 366kB     0B / 0B           7
a309f5f16996   dev-peer0.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   12.72%    16.43MiB / 2GiB       166MB / 133MB     0B / 0B           9
ee97686dfd5a   dev-peer3.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   29.20%    8.812MiB / 2GiB       201MB / 168MB     0B / 0B           10
93ca131dc036   dev-peer1.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   24.79%    8.574MiB / 2GiB       202MB / 168MB     0B / 0B           10
3c8c73db405c   dev-peer2.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   25.98%    9.195MiB / 2GiB       202MB / 168MB     8.19kB / 0B       9
71cba593f034   peer3.org1.example.com                                                                                  13.78%    99.18MiB / 11.57GiB   187MB / 533MB     1.69MB / 30.3MB   12
5c331ce2079d   peer2.org1.example.com                                                                                  12.79%    89.14MiB / 11.57GiB   184MB / 535MB     0B / 3.43MB       12
f15ece11cd6b   peer1.org1.example.com                                                                                  13.58%    102.9MiB / 11.57GiB   184MB / 534MB     131kB / 3.43MB    11
