CONTAINER      NAME                                                                                                    CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O     PIDS
d759e481e4ac   dev-peer0.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   4.35%     9.969MiB / 2GiB       146MB / 122MB     0B / 0B       9
564cb404308c   dev-peer0.org2.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   0.00%     5.633MiB / 2GiB       323kB / 381kB     0B / 0B       7
6fbaa2281f37   dev-peer1.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   37.38%    8.254MiB / 2GiB       148MB / 123MB     0B / 0B       9
bb85d2ea2e20   dev-peer2.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   34.98%    8.684MiB / 2GiB       148MB / 123MB     0B / 0B       9
003602e37b49   dev-peer3.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   40.07%    8.375MiB / 2GiB       147MB / 123MB     0B / 0B       9
6640668c08c7   peer3.org1.example.com                                                                                  18.47%    103.9MiB / 11.57GiB   136MB / 388MB     0B / 3.43MB   10
3300305257ae   peer2.org1.example.com                                                                                  16.66%    111.8MiB / 11.57GiB   134MB / 388MB     0B / 3.44MB   11
d682d9a12dd8   peer1.org1.example.com                                                                                  18.55%    89.36MiB / 11.57GiB   134MB / 388MB     0B / 3.43MB   11
e2e6ace26dad   cli                                                                                                     0.00%     1.059MiB / 11.57GiB   109kB / 17.7kB    0B / 336kB    1
1f89ad65cd4c   peer0.org1.example.com                                                                                  11.46%    123.4MiB / 11.57GiB   462MB / 389MB     0B / 3.35MB   13
b67642bca6e1   peer0.org2.example.com                                                                                  2.63%     66.37MiB / 11.57GiB   5.36MB / 2.45MB   0B / 3.37MB   10
f44dcc617cde   couchdb1                                                                                                0.33%     55.62MiB / 11.57GiB   359kB / 335kB     0B / 1.42MB   42
a72317bb1012   orderer.example.com                                                                                     0.09%     19.51MiB / 11.57GiB   251kB / 970kB     0B / 500kB    12
06570e84cacd   couchdb0                                                                                                89.36%    84.89MiB / 11.57GiB   9.84MB / 329MB    0B / 1.42MB   42
64b3d7dc3419   ca_org1                                                                                                 0.00%     8.348MiB / 11.57GiB   46.4kB / 77.8kB   0B / 1.13MB   7
8098c80205e5   ca_org2                                                                                                 0.00%     7.117MiB / 11.57GiB   27.2kB / 35.4kB   0B / 737kB    7
f4bf6573cc65   ca_orderer                                                                                              0.00%     7.109MiB / 11.57GiB   23kB / 27.2kB     0B / 659kB    8
CONTAINER      NAME                                                                                                    CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O     PIDS
d759e481e4ac   dev-peer0.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   20.51%    10.17MiB / 2GiB       150MB / 125MB     0B / 0B       9
564cb404308c   dev-peer0.org2.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   0.00%     5.633MiB / 2GiB       323kB / 381kB     0B / 0B       7
