CONTAINER      NAME                                                                                                    CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O     PIDS
e878ae6139e7   dev-peer0.org2.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.00%     5.695MiB / 2GiB       654kB / 783kB     0B / 0B       7
7b78d3a1f7e3   dev-peer0.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   25.15%    11.84MiB / 2GiB       395MB / 334MB     0B / 0B       9
a53f1bee0a4d   dev-peer2.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   23.76%    9.426MiB / 2GiB       398MB / 335MB     0B / 0B       9
be6e23cfcaa7   dev-peer1.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   23.86%    9.395MiB / 2GiB       398MB / 335MB     0B / 0B       10
638d4abd2f96   dev-peer3.org2.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.00%     4.965MiB / 2GiB       10.3kB / 6.94kB   0B / 0B       7
d129f753f997   dev-peer3.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   18.29%    8.324MiB / 2GiB       398MB / 335MB     0B / 0B       10
1e86acc46be4   dev-peer2.org2.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.00%     4.965MiB / 2GiB       10.3kB / 6.96kB   0B / 0B       7
6f91da08f2d8   dev-peer1.org2.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.00%     5.145MiB / 2GiB       10.5kB / 7.03kB   0B / 0B       7
d660cedc73e9   peer3.org2.example.com                                                                                  0.69%     80.46MiB / 11.57GiB   8.02MB / 5.17MB   0B / 3.58MB   11
19bf5e37eea5   peer2.org2.example.com                                                                                  0.63%     85.76MiB / 11.57GiB   8.22MB / 4.91MB   0B / 3.58MB   10
c8e98f21a5b2   peer1.org2.example.com                                                                                  1.01%     88.04MiB / 11.57GiB   7.99MB / 4.94MB   0B / 3.58MB   10
6e871dd28013   peer3.org1.example.com                                                                                  9.59%     104.4MiB / 11.57GiB   352MB / 1.05GB    0B / 3.58MB   11
7611bfc21290   peer2.org1.example.com                                                                                  10.05%    100.3MiB / 11.57GiB   352MB / 1.05GB    0B / 3.58MB   11
d3d3a1496dda   peer1.org1.example.com                                                                                  10.31%    124.5MiB / 11.57GiB   352MB / 1.05GB    0B / 3.58MB   12
