CONTAINER      NAME                                                                                                    CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O       PIDS
84e7a3a3d7c5   dev-peer0.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   17.59%    8.543MiB / 2GiB       5.37MB / 4.61MB   0B / 0B         8
31a943db948e   dev-peer0.org2.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   0.00%     5.812MiB / 2GiB       355kB / 419kB     0B / 0B         7
6cc19a534190   dev-peer1.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   19.93%    8.344MiB / 2GiB       5.21MB / 4.35MB   0B / 0B         8
fb9114b209da   dev-peer3.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   20.99%    8.383MiB / 2GiB       5.21MB / 4.35MB   0B / 0B         8
d3772be92cd6   dev-peer2.org2.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   0.00%     5.145MiB / 2GiB       7.5kB / 4.32kB    0B / 0B         7
466e51efcc70   dev-peer1.org2.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   0.00%     5.348MiB / 2GiB       7.58kB / 4.38kB   0B / 0B         7
e4efb9669bcf   dev-peer2.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   20.23%    8.266MiB / 2GiB       5.28MB / 4.41MB   0B / 0B         8
6d5ec4da5944   dev-peer3.org2.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   0.00%     5.566MiB / 2GiB       7.46kB / 4.21kB   0B / 0B         7
06a857bd7e05   peer3.org2.example.com                                                                                  1.91%     86.26MiB / 11.57GiB   5.92MB / 2.93MB   0B / 3.44MB     10
ce2cc2b841dd   peer2.org2.example.com                                                                                  2.27%     83.63MiB / 11.57GiB   5.95MB / 3.02MB   0B / 3.43MB     10
cfe9e87c5865   peer1.org2.example.com                                                                                  1.22%     84.6MiB / 11.57GiB    5.98MB / 3MB      0B / 3.43MB     10
580daecde2b3   peer3.org1.example.com                                                                                  10.80%    80.79MiB / 11.57GiB   10.5MB / 16.4MB   0B / 3.44MB     10
d412be458b33   peer2.org1.example.com                                                                                  11.83%    77.21MiB / 11.57GiB   10.7MB / 16.7MB   0B / 3.43MB     10
de1839e03f38   peer1.org1.example.com                                                                                  11.86%    76.75MiB / 11.57GiB   10.6MB / 16.9MB   0B / 3.43MB     10
41032be9efd7   cli                                                                                                     0.00%     1.07MiB / 11.57GiB    110kB / 17.4kB    0B / 336kB      1
1d022ede98c8   peer0.org1.example.com                                                                                  36.02%    91.38MiB / 11.57GiB   22.7MB / 17.6MB   0B / 3.36MB     11
cfbeb89ca648   peer0.org2.example.com                                                                                  1.99%     71.33MiB / 11.57GiB   6.87MB / 3.94MB   0B / 3.36MB     10
a52ef1eafd43   couchdb0                                                                                                146.41%   56.63MiB / 11.57GiB   639kB / 11.7MB    0B / 1.41MB     42
3f41b9cb9a7c   couchdb1                                                                                                0.69%     55.45MiB / 11.57GiB   362kB / 338kB     0B / 1.41MB     42
f468fff84ef9   orderer.example.com                                                                                     0.15%     15.09MiB / 11.57GiB   243kB / 1.38MB    123kB / 504kB   9
1a45b6ea5380   ca_org2                                                                                                 0.00%     7.316MiB / 11.57GiB   46.9kB / 77.2kB   0B / 1.13MB     8
a1f9045aee12   ca_orderer                                                                                              0.00%     7.195MiB / 11.57GiB   24kB / 27.2kB     0B / 659kB      7
9d7311074e90   ca_org1                                                                                                 0.00%     7.184MiB / 11.57GiB   47.4kB / 77.7kB   0B / 1.13MB     7
CONTAINER      NAME                                                                                                    CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O       PIDS
84e7a3a3d7c5   dev-peer0.org1.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   21.94%    8.434MiB / 2GiB       10.7MB / 9.02MB   0B / 0B         8
31a943db948e   dev-peer0.org2.example.com-basic_1.0-fed8a62a32b9bc8ca8542427cb2b6a4d823755ad1cff77456586aafeca504428   0.00%     5.812MiB / 2GiB       355kB / 419kB     0B / 0B         7
