CONTAINER      NAME                                                                                                    CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O     PIDS
e3f81fe3dd34   dev-peer0.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   1.06%     7.938MiB / 2GiB       800kB / 835kB     0B / 0B       7
ec17c381aecc   dev-peer0.org2.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   8.52%     15.53MiB / 2GiB       1.77MB / 1.06MB   0B / 0B       8
c936f8ce58ce   dev-peer7.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   1.57%     7.543MiB / 2GiB       177kB / 78.5kB    0B / 0B       7
1b91ff1a660c   dev-peer5.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   2.21%     7.441MiB / 2GiB       187kB / 81.8kB    0B / 0B       7
5e219326626a   dev-peer3.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   1.57%     7.84MiB / 2GiB        228kB / 100kB     0B / 0B       7
4c75378b1eb8   dev-peer4.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   2.03%     7.652MiB / 2GiB       200kB / 90.3kB    0B / 0B       7
78ab195fe9be   dev-peer2.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   1.37%     7.621MiB / 2GiB       196kB / 85.9kB    0B / 0B       7
66a116cb08e9   dev-peer6.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   1.81%     7.75MiB / 2GiB        190kB / 82.3kB    0B / 0B       7
1ba5731ce288   dev-peer1.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   1.81%     7.695MiB / 2GiB       219kB / 95.4kB    0B / 0B       7
dd757f69cdc4   peer7.org1.example.com                                                                                  18.81%    104.8MiB / 11.57GiB   14.6MB / 9.65MB   0B / 5.57MB   12
82087b71a034   peer6.org1.example.com                                                                                  16.65%    105.3MiB / 11.57GiB   13.5MB / 10.1MB   0B / 5.19MB   13
38688619acff   peer5.org1.example.com                                                                                  17.37%    114.7MiB / 11.57GiB   15.4MB / 9.99MB   0B / 5.48MB   12
b2f17e13c4a1   peer4.org1.example.com                                                                                  20.33%    121.9MiB / 11.57GiB   15MB / 10.1MB     0B / 5.55MB   14
0f521c16e549   peer3.org1.example.com                                                                                  22.05%    105.7MiB / 11.57GiB   13.9MB / 10.5MB   0B / 5.48MB   11
64a3df403f7f   peer2.org1.example.com                                                                                  19.93%    123.1MiB / 11.57GiB   14.6MB / 9.97MB   0B / 5.71MB   14
