CONTAINER      NAME                                                                                                    CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O        PIDS
b6100486c01a   dev-peer0.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.54%     7.438MiB / 2GiB       1.33MB / 1.08MB   0B / 0B          7
d43be5d0e8b3   dev-peer4.org2.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.72%     7.957MiB / 2GiB       707kB / 300kB     0B / 0B          8
5fa2c6027bd9   dev-peer2.org2.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.74%     8.18MiB / 2GiB        735kB / 316kB     0B / 0B          7
6e68049281fb   dev-peer7.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.38%     7.543MiB / 2GiB       681kB / 279kB     0B / 0B          8
f5857b92b373   dev-peer6.org2.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.51%     7.387MiB / 2GiB       657kB / 288kB     0B / 0B          7
db6258fcc444   dev-peer5.org2.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.60%     7.848MiB / 2GiB       716kB / 310kB     0B / 0B          8
fc35ab9d0b44   dev-peer2.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.62%     7.742MiB / 2GiB       673kB / 284kB     0B / 0B          8
8b31f9929446   dev-peer0.org2.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.70%     8.027MiB / 2GiB       1.32MB / 1.06MB   0B / 0B          7
91487ee3e0da   dev-peer3.org2.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.81%     7.879MiB / 2GiB       763kB / 328kB     0B / 0B          8
256fc3b9414d   dev-peer1.org2.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.75%     7.758MiB / 2GiB       696kB / 297kB     0B / 0B          7
ad76e63b655b   dev-peer3.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.81%     7.582MiB / 2GiB       669kB / 286kB     0B / 0B          7
cff2e808af89   dev-peer7.org2.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.61%     7.574MiB / 2GiB       677kB / 297kB     0B / 0B          8
de3752696cfe   dev-peer4.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.41%     7.883MiB / 2GiB       644kB / 267kB     0B / 0B          8
00d560591b9a   dev-peer5.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.85%     7.973MiB / 2GiB       731kB / 308kB     0B / 0B          8
1e18cb5d0e8d   dev-peer1.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   1.10%     7.922MiB / 2GiB       690kB / 287kB     0B / 0B          8
d79f6760666a   dev-peer6.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.91%     7.934MiB / 2GiB       707kB / 293kB     0B / 0B          8
973d2c8872fb   peer7.org2.example.com                                                                                  15.08%    120.7MiB / 11.57GiB   81.5MB / 59.9MB   0B / 21.4MB      12
30ff2894bd2b   peer6.org2.example.com                                                                                  13.51%    112.8MiB / 11.57GiB   80.8MB / 68.6MB   0B / 21.4MB      13
178e2ece458e   peer5.org2.example.com                                                                                  12.79%    114.8MiB / 11.57GiB   78.8MB / 65.5MB   0B / 21.4MB      13
21325716e8f4   peer4.org2.example.com                                                                                  12.95%    120.4MiB / 11.57GiB   83.6MB / 66MB     0B / 20.5MB      13
77fd36d85993   peer3.org2.example.com                                                                                  13.47%    113.5MiB / 11.57GiB   84.9MB / 71.1MB   0B / 21.3MB      15
9ece99169913   peer2.org2.example.com                                                                                  11.93%    118.5MiB / 11.57GiB   80.5MB / 66.9MB   0B / 21.1MB      12
d94e1203d1d0   peer1.org2.example.com                                                                                  14.47%    117.6MiB / 11.57GiB   84MB / 63.3MB     0B / 20.9MB      13
3eab859b89bc   peer7.org1.example.com                                                                                  11.71%    148.5MiB / 11.57GiB   81.5MB / 69.9MB   0B / 20.2MB      13
2bd1e7dde2bc   peer6.org1.example.com                                                                                  13.92%    139.9MiB / 11.57GiB   87MB / 66.4MB     0B / 20.5MB      15
efcb010ad736   peer5.org1.example.com                                                                                  13.54%    133MiB / 11.57GiB     84.4MB / 71.9MB   0B / 20.2MB      13
e1482d9d24e1   peer4.org1.example.com                                                                                  15.23%    149.3MiB / 11.57GiB   82.3MB / 74.6MB   0B / 20.3MB      15
79bda7e132a4   peer3.org1.example.com                                                                                  16.39%    138.1MiB / 11.57GiB   84.6MB / 61.6MB   0B / 20.5MB      13
f43ca3b8d926   peer2.org1.example.com                                                                                  17.22%    144.4MiB / 11.57GiB   82.6MB / 70.2MB   0B / 21.1MB      14
c1ece5508f92   peer1.org1.example.com                                                                                  18.24%    129.4MiB / 11.57GiB   83MB / 69.7MB     0B / 20.8MB      14
117020961f04   cli                                                                                                     0.00%     1.066MiB / 11.57GiB   120kB / 17.5kB    53.2kB / 336kB   1
624ce2712d38   peer0.org2.example.com                                                                                  10.14%    109.7MiB / 11.57GiB   82.6MB / 79.4MB   0B / 17.6MB      13
f583341e09b0   peer0.org1.example.com                                                                                  9.09%     150.3MiB / 11.57GiB   83.5MB / 89.1MB   0B / 17.6MB      11
8fbe93589913   orderer.example.com                                                                                     11.37%    78.99MiB / 11.57GiB   15MB / 199MB      0B / 27.1MB      15
29df7c6baed2   couchdb1                                                                                                12.60%    64.47MiB / 11.57GiB   1.42MB / 1.4MB    0B / 14.4MB      42
562ba8858b07   couchdb0                                                                                                9.71%     65.04MiB / 11.57GiB   1.41MB / 1.39MB   0B / 15.2MB      42
9b83239f8b68   ca_orderer                                                                                              0.00%     7.059MiB / 11.57GiB   34.1kB / 27.2kB   16.4kB / 659kB   7
c07f92b5c9a6   ca_org2                                                                                                 0.00%     7.316MiB / 11.57GiB   82.2kB / 133kB    0B / 1.65MB      8
844594a1b4b1   ca_org1                                                                                                 0.00%     7.145MiB / 11.57GiB   82kB / 134kB      0B / 1.65MB      8
CONTAINER      NAME                                                                                                    CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O        PIDS
b6100486c01a   dev-peer0.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.61%     7.938MiB / 2GiB       1.45MB / 1.12MB   0B / 0B          7
d43be5d0e8b3   dev-peer4.org2.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.78%     8.48MiB / 2GiB        836kB / 355kB     0B / 0B          8
5fa2c6027bd9   dev-peer2.org2.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.64%     8.809MiB / 2GiB       842kB / 363kB     0B / 0B          8
6e68049281fb   dev-peer7.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.68%     8.387MiB / 2GiB       809kB / 334kB     0B / 0B          8
f5857b92b373   dev-peer6.org2.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.92%     7.996MiB / 2GiB       755kB / 329kB     0B / 0B          7
db6258fcc444   dev-peer5.org2.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.46%     8.098MiB / 2GiB       810kB / 352kB     0B / 0B          8
fc35ab9d0b44   dev-peer2.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.75%     8.508MiB / 2GiB       777kB / 329kB     0B / 0B          8
8b31f9929446   dev-peer0.org2.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.45%     8.375MiB / 2GiB       1.43MB / 1.11MB   0B / 0B          7
91487ee3e0da   dev-peer3.org2.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   1.10%     8.141MiB / 2GiB       873kB / 377kB     0B / 0B          8
256fc3b9414d   dev-peer1.org2.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.62%     8.016MiB / 2GiB       824kB / 352kB     0B / 0B          7
ad76e63b655b   dev-peer3.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.84%     8.141MiB / 2GiB       770kB / 331kB     0B / 0B          7
cff2e808af89   dev-peer7.org2.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.96%     8.254MiB / 2GiB       802kB / 352kB     0B / 0B          8
de3752696cfe   dev-peer4.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.64%     8.266MiB / 2GiB       771kB / 323kB     0B / 0B          8
00d560591b9a   dev-peer5.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.23%     8.102MiB / 2GiB       835kB / 350kB     0B / 0B          8
1e18cb5d0e8d   dev-peer1.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   1.11%     7.949MiB / 2GiB       829kB / 344kB     0B / 0B          8
d79f6760666a   dev-peer6.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.63%     8.59MiB / 2GiB        805kB / 333kB     0B / 0B          8
973d2c8872fb   peer7.org2.example.com                                                                                  10.00%    117.9MiB / 11.57GiB   90.9MB / 68.8MB   0B / 24MB        12
30ff2894bd2b   peer6.org2.example.com                                                                                  10.90%    115.4MiB / 11.57GiB   89.8MB / 76.7MB   0B / 23.3MB      13
178e2ece458e   peer5.org2.example.com                                                                                  14.09%    115.4MiB / 11.57GiB   89.7MB / 74.9MB   0B / 24.5MB      13
21325716e8f4   peer4.org2.example.com                                                                                  14.43%    122.3MiB / 11.57GiB   95.8MB / 75.3MB   0B / 23.4MB      14
77fd36d85993   peer3.org2.example.com                                                                                  11.79%    122.3MiB / 11.57GiB   95.7MB / 79MB     0B / 23.6MB      15
9ece99169913   peer2.org2.example.com                                                                                  15.57%    119.7MiB / 11.57GiB   90.4MB / 74.4MB   0B / 24.3MB      12
d94e1203d1d0   peer1.org2.example.com                                                                                  11.13%    123.1MiB / 11.57GiB   95.9MB / 73.6MB   0B / 23.9MB      13
