CONTAINER      NAME                                                                                                    CPU %     MEM USAGE / LIMIT     NET I/O           BLOCK I/O        PIDS
3746c4adfd36   dev-peer0.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   4.38%     10.04MiB / 2GiB       64.7MB / 54.5MB   0B / 0B          9
41808ef6296e   dev-peer4.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   12.24%    9.688MiB / 2GiB       65.2MB / 54.6MB   0B / 0B          9
7c58a9280cd3   dev-peer2.org2.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.00%     5.617MiB / 2GiB       6.62kB / 3.38kB   0B / 0B          7
739ec15121ac   dev-peer4.org2.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.00%     5.898MiB / 2GiB       6.86kB / 3.76kB   0B / 0B          7
6f76f36aec26   dev-peer7.org2.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.00%     5.531MiB / 2GiB       6.71kB / 3.47kB   0B / 0B          7
ce17cc25e19a   dev-peer5.org2.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.00%     5.434MiB / 2GiB       6.69kB / 3.39kB   0B / 0B          6
8d952ea8584a   dev-peer0.org2.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.00%     7.953MiB / 2GiB       661kB / 790kB     0B / 0B          7
3f8cd61a72d1   dev-peer3.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   14.33%    9.645MiB / 2GiB       66.3MB / 55.8MB   0B / 0B          9
b42e8004cbe2   dev-peer7.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   19.04%    8.785MiB / 2GiB       66.5MB / 56MB     0B / 0B          10
9de7490e6ba4   dev-peer2.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   14.77%    9.242MiB / 2GiB       66.3MB / 55.9MB   0B / 0B          10
edc1b4f69ce0   dev-peer5.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   11.92%    9.188MiB / 2GiB       66.3MB / 55.9MB   0B / 0B          9
b1bc63b3ee11   dev-peer1.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   11.37%    9.398MiB / 2GiB       65.9MB / 55.5MB   0B / 0B          10
7882f567d61d   dev-peer1.org2.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.00%     6.027MiB / 2GiB       6.89kB / 3.38kB   0B / 0B          7
c87b0d29caf2   dev-peer6.org2.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.00%     5.883MiB / 2GiB       6.92kB / 3.45kB   0B / 0B          7
31a15a9f507f   dev-peer6.org1.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   19.27%    8.664MiB / 2GiB       66.1MB / 55.6MB   0B / 0B          9
03be906b5a23   dev-peer3.org2.example.com-basic_1.0-5888a1b6a788a537cf2b46cb928c59bbb52e5df079b509a9f561584935c51671   0.00%     5.82MiB / 2GiB        6.72kB / 3.41kB   0B / 0B          7
05f60286b0ce   peer7.org2.example.com                                                                                  2.99%     76.08MiB / 11.57GiB   8.97MB / 5.93MB   0B / 3.58MB      10
be5395fdb678   peer6.org2.example.com                                                                                  1.40%     84.46MiB / 11.57GiB   9.3MB / 6.04MB    0B / 3.58MB      11
368063a35721   peer5.org2.example.com                                                                                  1.54%     86.78MiB / 11.57GiB   8.93MB / 6.31MB   0B / 3.58MB      12
678c63876d8d   peer4.org2.example.com                                                                                  1.96%     105.3MiB / 11.57GiB   9.46MB / 6.52MB   0B / 3.58MB      10
9054d5293db2   peer3.org2.example.com                                                                                  2.46%     101.7MiB / 11.57GiB   9.32MB / 6.19MB   0B / 3.58MB      10
4cea85f1aa47   peer2.org2.example.com                                                                                  2.99%     84.4MiB / 11.57GiB    9.4MB / 6.53MB    0B / 3.58MB      11
